Var1,Var2,Var3,Var4,Var5
6,11,0.263962583246707,0.213189222450945,0.940677473992275
6,12,0.262479273281498,0.163787123077446,0.950935544299207
6,13,0.263596742631746,0.109965330935244,0.958344605695798
6,14,0.264691019054796,0.0621290377263338,0.962329801628804
6,15,0.271467666690824,0.00760457702409077,0.962417516647387
6,16,0.26674718940135,-0.0479778215880855,0.962571589847811
6,17,0.268512873609721,-0.101778168326064,0.957884148087879
6,18,0.263329222137811,-0.155817291152338,0.952039228470257
6,19,0.265983661901877,-0.194926558860637,0.944063731033037
6,20,0.267911666328688,-0.246587020301551,0.931352876445758
6,21,0.262164327443716,-0.314269311380541,0.912416936131933
6,22,0.268747592258006,-0.365101108141793,0.89133378287214
6,23,0.274929117860289,-0.41309734749043,0.868196153901256
6,24,0.269671189409443,-0.464750047554906,0.843377046699879
6,25,0.258439637803638,-0.516125883221494,0.816592325631803
6,26,0.258699369664334,-0.562158694106622,0.785526726964534
6,27,0.260516005029293,-0.610525113716854,0.747924124924848
6,28,0.258859279326137,-0.66428261914589,0.701227834164781
6,29,0.251728169395359,-0.716015655570203,0.65111789232921
6,30,0.250267204738363,-0.773964507802551,0.581674536914244
6,31,0.238895233231654,-0.840076286145636,0.487032751460258
7,0,0.201223248359174,0.746653726789171,0.634048433947774
7,1,0.203588848001648,0.703507081814927,0.680903346155391
7,2,0.205836033759189,0.659827449866276,0.722675074711487
7,3,0.207647792274588,0.615628287191612,0.76018695488216
7,4,0.210861587428993,0.570166814789067,0.794007049250959
7,5,0.220248947238334,0.520399507537603,0.825030153264125
7,6,0.218829939169872,0.472850377740088,0.853537332513327
7,7,0.214010120216222,0.424986293196883,0.879537559766387
7,8,0.205645559221143,0.376895964857096,0.90313860267794
7,9,0.205505758638527,0.322562753051119,0.923970050115525
7,10,0.210228491215878,0.264376698583949,0.941227359742027
7,11,0.204879478706146,0.209041577012479,0.956203962701072
7,12,0.21058100259046,0.158083256188669,0.964709969607853
7,13,0.213888646696787,0.105029708495739,0.971195349632357
7,14,0.206940195180129,0.0577303807779965,0.97664884106522
7,15,0.214120110748028,0.00691162720566801,0.97678288661433
7,16,0.21396407755216,-0.0456589607797561,0.975773863565614
7,17,0.214809460830176,-0.103803372198925,0.971123965031231
7,18,0.209840978885786,-0.155083372223904,0.965357918722334
7,19,0.212832235883407,-0.201239719642961,0.95614068766416
7,20,0.215541423565425,-0.251912570678693,0.943441546393544
7,21,0.209293429675507,-0.310544073448281,0.927231707148117
7,22,0.209703798106979,-0.363847319195379,0.907545836513971
7,23,0.213361558934268,-0.413463293027246,0.885169447330964
7,24,0.212144873863004,-0.461802376361477,0.861239291765385
7,25,0.20909746943192,-0.510067277738372,0.834331840731093
7,26,0.212021784273502,-0.560701337134088,0.800412876913863
7,27,0.212079765734315,-0.611466282484529,0.762319590690563
7,28,0.206871159875334,-0.6656517099891,0.717016125481444
7,29,0.197364424981694,-0.720684862907961,0.664575512734993
7,30,0.200570342497284,-0.77991282431838,0.592880699782216
7,31,0.186300101027468,-0.84275963636909,0.505023234776573
8,0,0.15816816126508,0.760572470661769,0.62969226581996
8,1,0.159612326717449,0.71711908242376,0.678427687217693
8,2,0.154482916437652,0.667413007096686,0.7284880963249
8,3,0.158473223334803,0.616646459990057,0.771124750521995
8,4,0.159997881059772,0.564761668660972,0.809595538320004
8,5,0.163291694580486,0.517230900058602,0.840123811414486
8,6,0.165924794032154,0.46798934222874,0.868017821410193
8,7,0.163181307992154,0.416801632673089,0.894230540589515
8,8,0.156884389978903,0.365218212859238,0.917607184571291
8,9,0.153919949875875,0.312059816509044,0.937511237239613
8,10,0.160034406377151,0.260602554275259,0.952089962913549
8,11,0.153232112756869,0.213615434122594,0.964825562433273
8,12,0.154611175686278,0.161854208247487,0.974627415798204
8,13,0.154532800021166,0.112808534624133,0.981526285044661
8,14,0.157661204127284,0.0627240622407932,0.98549918149593
8,15,0.159347803140951,0.00391546842188783,0.987214741959008
8,16,0.156562795742209,-0.0387303225349478,0.986908330649672
8,17,0.165105242311863,-0.0867835187265996,0.982450446505355
8,18,0.162340980987634,-0.140454689561716,0.976687199707304
8,19,0.163256388309406,-0.202545751278081,0.965568521812598
8,20,0.159017074904172,-0.255536304647071,0.953632406588744
8,21,0.158802731317667,-0.300394851663982,0.940502326217125
8,22,0.155396263730125,-0.353694398539161,0.922362333175384
8,23,0.158570023009943,-0.406321707193972,0.899865666677867
8,24,0.158479722439394,-0.458563899993723,0.874415992075899
8,25,0.162313092744695,-0.510757367013409,0.844263804722897
8,26,0.166622046773248,-0.560970238517124,0.810894250212156
8,27,0.163465265667102,-0.611050548166009,0.774529750562497
8,28,0.155873881139332,-0.66338413384068,0.73186393827474
8,29,0.150661020242647,-0.720582987069589,0.6768023461287
8,30,0.150122239757317,-0.780626962439333,0.606699974157727
8,31,0.134445455063587,-0.841019782583149,0.52403258001439
9,0,0.11238823005945,0.771843330707689,0.625800893724326
9,1,0.112727111402097,0.72785501852017,0.676402003523011
9,2,0.10290894001487,0.673865923155301,0.73165187601418
9,3,0.111000053237352,0.620693270721418,0.776156460942286
9,4,0.105725022031435,0.572465696767984,0.813083787650694
9,5,0.10489502034876,0.521824728130015,0.846578990891027
9,6,0.109582680273317,0.469068011942049,0.876337170475411
9,7,0.110361527993397,0.414388917308327,0.903383727078917
9,8,0.106604729233063,0.356378698300416,0.928240084839502
9,9,0.102952935922873,0.303753232698396,0.947171930860567
9,10,0.103749714582878,0.258424426987242,0.960444070344696
9,11,0.10096196057436,0.213212360378577,0.971775268206995
9,12,0.107244434546212,0.159481739554706,0.981358347397865
9,13,0.101577450770021,0.108007046908543,0.988947167099011
9,14,0.107704227776638,0.0590286160151065,0.992429051272875
9,15,0.108291141116608,0.0134711268111952,0.994027946034768
9,16,0.104865346955754,-0.0485534414509333,0.993300469309826
9,17,0.1138978361648,-0.095419699655997,0.988899572168244
